user_id,avg_rating,avg_noised_rating,rating_count,rating_variance,noised_count,noised_variance
6,3.4,3.3,[ 4  8 74 50  9],0.63,[ 8 12 64 46 15],0.92
7,4.1,3.6,[ 3  7 42 62 78],0.91,[16 13 57 54 52],1.42
79,3.5,3.4,[16 15 54 65 39],1.33,[17 24 58 52 38],1.43
97,3.2,3.4,[14 16 34 27 21],1.58,[ 9 15 32 31 25],1.44
134,4.7,4.1,[  1   0   5  28 132],0.32,[10  9 25 37 85],1.42
169,3.7,3.5,[ 1  1 19 42  5],0.47,[ 7  6 15 28 12],1.4
183,3.7,3.6,[ 0  3 23 23 11],0.68,[ 3  2 23 20 12],1.01
188,3.4,3.5,[ 0  5 67 55  2],0.35,[ 6 13 42 44 24],1.1
195,3.6,3.7,[ 3 14 17 27 22],1.32,[ 7  6 19 28 23],1.43
199,4.0,3.7,[ 0  6 28 90 34],0.54,[ 4 12 42 71 29],0.88
201,3.7,3.7,[ 3 12 19 34 26],1.2,[ 7  9 18 31 29],1.46
265,3.7,3.7,[ 0  7 43 52 24],0.69,[ 5 14 33 42 32],1.2
268,4.3,4.0,[ 4  4  3 13 43],1.37,[ 5  4  9 16 33],1.54
283,3.5,3.5,[ 3 12 42 45 14],0.85,[ 8 10 37 40 21],1.2
291,3.6,3.5,[ 1  3 21 23  9],0.76,[ 4  9 10 24 10],1.34
296,3.3,3.3,[ 7  4 18 20  8],1.37,[ 4 10 14 21  8],1.27
298,3.7,3.6,[ 2  6 16 40  9],0.8,[ 4  6 19 33 11],1.04
302,3.3,3.3,[ 3  6 31 22  5],0.81,[ 5 12 21 15 14],1.44
304,3.7,3.4,[ 3  5 19 27 17],1.08,[ 5 11 16 26 13],1.34
305,4.0,3.9,[ 4  5  8 22 31],1.36,[ 5  4 11 25 25],1.37
383,3.5,3.6,[ 1 12 39 49 10],0.7,[ 2 13 38 37 21],0.97
424,3.4,3.4,[ 2 10 23 26  6],0.89,[ 8  7 15 25 12],1.52
437,2.7,3.3,[ 4 31 29  8  5],0.9,[10  5 27 23 12],1.42
462,3.1,3.0,[ 7 34 35 26 15],1.26,[17 23 33 29 15],1.54
477,3.4,3.3,[ 2 12 36 25 11],0.9,[ 9 11 25 29 12],1.36
481,4.3,3.7,[ 0  5 19 62 75],0.63,[12 13 30 62 44],1.36
485,3.5,3.5,[ 1 10 13 22  7],1.0,[ 1 10 15 13 14],1.27
